building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
way/432864981,54,0,,,,,
way/432864982,66,0,,,,,
way/432865814,24,0,,,,,
way/434025431,21,0,,,,,
way/434025434,9,2,collinear,179.973265,0.48621497,Y,N
way/434025437,50,0,,,,,
way/434025438,7,0,,,,,
way/434025443,9,0,,,,,
way/434026687,11,2,collinear,179.979251,3.03190518,Y,N
way/434026690,20,0,,,,,
way/434026694,36,0,,,,,
way/434868515,24,0,,,,,
way/434868516,54,0,,,,,
way/434868517,24,0,,,,,
way/434868518,30,0,,,,,
way/434869412,66,0,,,,,
way/434869413,45,0,,,,,
way/434869414,36,0,,,,,
way/434869415,9,2,collinear,179.906721,1.15556826,Y,N
way/433014323,24,0,,,,,
way/433014324,24,0,,,,,
way/433014325,24,0,,,,,
way/433014326,32,0,,,,,
way/433014327,32,0,,,,,
way/433014841,9,2,collinear,179.930485,2.59520808,Y,N
way/433014842,50,0,,,,,
way/433014844,48,0,,,,,
way/434878285,16,0,,,,,
way/434878287,56,0,,,,,
way/434878289,60,0,,,,,
way/434878292,32,0,,,,,
way/434878294,12,2,collinear,179.966575,7.73237771,Y,N
way/434878296,32,0,,,,,
way/434878298,56,0,,,,,
way/434878300,55,0,,,,,
way/434049332,14,0,,,,,
way/434049333,14,0,,,,,
way/434584670,44,0,,,,,
way/434584672,12,2,collinear,179.910765,8.54726559,Y,N
